Title,Author,ISBN#,ISBN13,Date Started,Date Finished,Read?,Favorite?,
The Book Thief,Markus Zusak,,,,08/04/18,YES,NO,
Black Flags,Joby Warrick,,,,09/24/18,YES,NO,
The Hitchhiker's Guide to the Galaxy,Douglas Adams,,,,10/15/18,YES,NO,
How to Bomb the U.S. Gov't,Sam Hyde,,,,01/13/19,YES,YES,
The Defining Decade,Meg Jay,,,,01/22/19,YES,NO,
The Power of Habit,Charles Duhigg,,,,02/06/19,YES,NO,
Improve Your Conversations:,Patrick King,,,,02/08/19,YES,NO,
Free Prize Inside!,Seth Godin,,,,03/11/19,YES,YES,
Purple Cow,Seth Godin,,,,03/11/19,YES,NO,
A Game of Thrones,George R.R. Martin,,,,03/14/19,YES,YES,
The Communist Manifesto,Karl Marx,,,,03/15/19,YES,NO,
The Catcher in the Rye,J. D. Salinger,,,,03/20/19,YES,YES,
How to Win Friends and Influence People,Dale Carnegie,,,,03/24/19,YES,YES,
Do Androids Dream of Electric Sheep?,Philip K. Dick,,,,04/10/19,YES,YES,
Ready Player One,Ernest Cline,,,,05/08/19,YES,NO,One of the shittiest books I’ve read. To add icing on the cake I had to read this for an English class for my private college education.
"King, Warrior, Magician, Lover",Robert L. Moore,,,,05/10/19,YES,YES,
A People's History of the United States,Howard Zinn,,,,05/14/19,YES,YES,
Loneliness,John T. Cacioppo,,,,06/10/19,YES,NO,
Mein Kampf,Adolf Hitler,,,,06/23/19,YES,YES,
The War Against Boys,Christina Hoff Sommers,,,,07/19/19,YES,NO,
Dark Disciple (Star Wars),Christie Golden,,,,08/18/19,YES,NO,
Thrawn,Timothy Zahn,,,,09/08/19,YES,NO,
Dune,Frank Herbert,,,,10/07/19,YES,YES,
Thrawn: Alliances,Timothy Zahn,,,,10/07/19,YES,NO,
Thrawn: Treason,Timothy Zahn,,,,10/25/19,YES,NO,
Dune Messiah,Frank Herbert,,,,11/02/19,YES,NO,
Fantastic Beasts and Where to Find Them,Newt Scamander,,,,11/03/19,YES,NO,
Lolita,Vladimir Nabokov,,,,11/18/19,YES,YES,
Roadside Picnic,Arkady Strugatsky,,,,12/02/19,YES,YES,
American Psycho,Bret Easton Ellis,,,,12/10/19,YES,YES,
All Quiet on the Western Front,Erich Maria Remarque,,,,12/17/19,YES,YES,
Trainspotting,Irvine Welsh,,,,12/30/19,YES,YES,
Journey to the Center of the Earth,Jules Verne,,,,01/16/20,YES,YES,
The Adventures of Tom Sawyer,Mark Twain,,,,01/31/20,YES,YES,
Animal Farm,George Orwell,,,,04/14/20,YES,YES,
Chaos,Tom O'Neill,,,,05/06/20,YES,NO,"The premise of this book seemed exciting. CIA? LSD? FBI? LAPD?Charles Manson? All involved in a tremendous conspiracy?

However the dead end at the conclusion of the book made me disappointed. The author said that he ended up broke and with his partner leaving him after he wrote this title."
Frankenstein,Mary Shelley,,,,05/23/20,YES,YES,
Shōgun,James Clavell,,,,05/26/20,YES,YES,
Steve Jobs,Walter Isaacson,,,10/29/21,11/09/21,YES,YES,"I’ve read this book twice. I read it last year but decided to read it again because I thought it was so good.

Key takeaways: break away from traditional molding, have extreme ownership in anything you do, and be unorthodox."
